family_head,card_number,card_type,date_of_birth,gender,mobile_number,address,family_members,entitlement,issued_date,issued_by,aadhaar_status
V LAKSHMI,8.07E+11,PHH,7/4/1989,FEMALE,9756632379,"No. 45, Anna Street, Gandhi Nagar, Chennai, Tamil Nadu ,600020","V LAKSHMI, M. LATHA","Rice: 10 kg, Wheat:  2kg, Sugar: 1 kg,Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",23-01-2021,TNPDS-Chennai,Linked
RUDRA,8.88E+11,NPHH,5/3/1993,MALE,7117782775,"Flat B2, Vasantham Apartments, 2nd Cross, Trichy Road, Coimbatore, Tamil Nadu ,641018","R KUMAR, S. ANAND, R. PRIYA,RUDRA","Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",2/11/2021,TNPDS-Chennai,Linked
SAYED RAJ AHMED,3.21E+11,PHH,7/3/1993,MALE,8699886929,"Door No. 12/3, Thillai Nagar Main Road, Tiruchirappalli, Tamil Nadu ,620018","S RAJESH, K. MITHUN,SAYED RAJ AHMED","Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",8/11/2023,TNPDS-Coimbatore,Not Linked
LAKSHMI,2.55E+11,NPHH,11/3/1994,FEMALE,8675088695,"Plot No. 67, Teachers Colony, Katpadi, Vellore, Tamil Nadu ,632007","A MEENA, A. JAYA,LAKSHMI","Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",24-02-2023,TNPDS-Tiruchirappalli,Not Linked
SHARADA,7.23E+11,PHH AAY,10/3/1994,FEMALE,9508666277,"No. 22, Raja Street, South Gate, Madurai, Tamil Nadu ,625001","K DEVI, D. RANI,BALAJI,SHARADA","Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",27-12-2022,TNPDS-Vellore,Linked
SHREEDEVI,6.96E+11,NPHH,2/2/1979,FEMALE,7532556618,"2nd Floor, KVB Complex, Avinashi Road, Tiruppur, Tamil Nadu ,641602","SHREEDEVI,S.GANGA,G.KUMAR","Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",25-09-2024,TNPDS-Madurai,Linked
AARVI,2.64E+11,PHH AAY,2/2/1994,FEMALE,7276444820,"No. 8, Kamarajar Salai, Melur, Madurai, Tamil Nadu ,625106","AARVI,D.DHINESH,DIVYSDHARSHINI","Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",12/4/2023,TNPDS-Tiruppur,Linked
KIRAN KUMAR,2.38E+11,PHH,5/4/1994,MALE,9869578872,"25, V.O.C. Nagar, Fairlands, Salem, Tamil Nadu ,636004","KIRAN KUMAR,DHRUV,GEETHA","Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",29-01-2023,TNPDS-Madurai,Not Linked
RAVI KUMAR,7.65E+11,NPHH,4/4/1994,MALE,9068576030,"Plot No. 13, Renga Nagar, North Bye-pass Road, Thanjavur, Tamil Nadu ,613004","SANTHOSH,RAVIKUMAR,GEJA LAKSHMI","Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",6/7/2020,TNPDS-Salem,Linked
KARTHIK SURESH,8.69E+11,PHH AAY,3/4/1994,MALE,7544007955,"14, Sivan Kovil Street, Jawahar Bazaar, Karur, Tamil Nadu ,639001","SINDHU,DEEPIKA,KARTHIK SURESH","Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",3/11/2021,TNPDS-Thanjavur,Linked
RAGINI,7.09E+11,NPHH,7/5/2005,FEMALE,8838367416,"No. 11, Anna Salai, Rajakilpakkam, Kancheepuram, Tamil Nadu ,631501","RAGINI,DURAIRAJ,MUNUSAMI,KEERTHANA","Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",21-02-2025,TNPDS-Karur,Not Linked
SUSHMITA,9.79E+11,PHH,3/4/2005,FEMALE,9099325085,"Flat No. 3, Sudarsan Apartments, ECR Road, Lawspet, Puducherry ,605003","SUSHMITA,KAVITHA,KOKILA,DEVA","Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",29-01-2023,TNPDS-Kancheepuram,Not Linked
DIVYA CHANDRAKAR,1.03E+11,PHH,24/06/1992,FEMALE,8039346766,"House No. 29, Gandhi Street, Perambur, Chennai, Tamil Nadu ,600011","DIVYA CHANDRAKUMAR,DURAIKUMAR,MUNUSAMY","Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",28-05-2021,TNPDS-Puducherry,Linked
SRIRAM MAMUNDI,5.64E+11,PHH,11/4/1992,MALE,9420161345,"No. 102, S.P. Koil Street, Semmandalam, Cuddalore, Tamil Nadu ,607001",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",6/1/2022,TNPDS-Chennai,Not Linked
AISHWARYA G,8.32E+11,PHH,17/11/1999,FEMALE,9775286446,"#5, Balaji Nagar, Aruppukottai Main Road, Virudhunagar, Tamil Nadu ,626002",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",28-02-2021,TNPDS-Cuddalore,Not Linked
PRAKHAR KUMAR RAI,9.76E+11,NPHH,12/4/1996,MALE,8917961563,"Block 4, Room 18, Government Quarters, Palani Road, Dindigul, Tamil Nadu ,624001",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",28-12-2024,TNPDS-Virudhunagar,Linked
RAJ,7.28E+11,NPHH,12/4/1986,MALE,8684923978,"Door No. 77, South Street, Ayyangudi, Kumbakonam, Tamil Nadu ,612001",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",17-04-2024,TNPDS-Dindigul,Not Linked
SURYA,7.25E+11,PHH,7/12/1991,MALE,8837467555,"12, Nehru Street, Near Bus Stand, Erode, Tamil Nadu ,638001",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",10/12/2024,TNPDS-Thanjavur,Linked
SUBBULAKSHMI M,6.18E+11,PHH AAY,28/02/1989,FEMALE,9436819190,"34, MGR Nagar, Satchiyapuram, Sivakasi, Tamil Nadu ,626123",,"Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",27-10-2020,TNPDS-Erode,Linked
YUVAAN,9.11E+11,NPHH,4/3/1993,MALE,9467382034,"45, Gandhi Salai, Paramathi, Namakkal, Tamil Nadu ,637001",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",27-10-2020,TNPDS-Virudhunagar,Linked
SARAVANAKUMAR PACKIRISAMY,4.50E+11,NPHH,30/06/1987,MALE,9434330163,"67, Thiruvalluvar Street, Velipalayam, Nagapattinam, Tamil Nadu ,611001",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",2/8/2022,TNPDS-Namakkal,Linked
RAJINIKANT,8.06E+11,NPHH,23/08/1991,MALE,8012098497,"89, Periyar Nagar, Polur Road, Tiruvannamalai, Tamil Nadu ,606601",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",11/3/2022,TNPDS-Nagapattinam,Linked
RAJESH KHANNA,1.67E+11,PHH,4/4/1986,MALE,8052469724,"10, New Colony, Bagalur Road, Hosur, Tamil Nadu ,635109",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",30-05-2023,TNPDS-Tiruvannamalai, Linked
JHANSI,5.92E+11,PHH,8/3/1994,FEMALE,7081476526,"23, Bharathi Road, Theni Allinagaram, Theni, Tamil Nadu ,625531",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",13-12-2022,TNPDS-Krishnagiri,Not Linked
SHREE RAM,7.21E+11,PHH AAY,31/12/1990,FEMALE,8758441024,"56, Ponnusamy Street, New Bus Stand, Villupuram, Tamil Nadu ,605602",,"Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",7/11/2024,TNPDS-Theni,Not Linked
SHASHIKUMAR,4.89E+11,PHH AAY,22/08/1991,MALE,7154742260,"78, Rajaji Nagar, Krishnagiri Main Road, Krishnagiri, Tamil Nadu ,635001",,"Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",7/8/2024,TNPDS-Villupuram,Linked
ARJUN,8.36E+11,NPHH,1/3/1993,MALE,7554376334,"90, Collector Office Road, Keezha Ariyalur, Ariyalur, Tamil Nadu ,621704",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",26-08-2020,TNPDS-Krishnagiri,Linked
RAM VIJAY KUMAR,5.02E+11,PHH,10/8/1998,MALE,9330481484,"31, Gandhi Bazar, Pennagaram Road, Dharmapuri, Tamil Nadu ,636701",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",3/10/2021,TNPDS-Ariyalur,Not Linked
KARTHIK SURESH,8.00E+11,NPHH,2/4/1994,MALE,9845918292,"11, Main Road, Pudukkottai Old Market, Pudukkottai, Tamil Nadu ,622001",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",11/3/2024,TNPDS-Dharmapuri,Not Linked
LATAMANI MAHANTA,7.04E+11,NPHH,6/7/1985,FEMALE,7305156733,"22, Market Street, Sayalkudi, Ramanathapuram, Tamil Nadu ,623501",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",8/11/2024,TNPDS-Pudukkottai,Linked
MUHAMMAD IRFAN,9.85E+11,NPHH,10/10/1998,MALE,9958337274,"44, Anna Nagar, Vadasery, Nagercoil, Tamil Nadu ,629001",,"Rice: 5 kg, Wheat: 1 kg, Sugar: 1 kg, Oil: 1 packet",5/11/2021,TNPDS-Ramanathapuram,Not Linked
YESUDAS,6.14E+11,PHH AAY,29/10/1989,MALE,8936905092,"65, Bazaar Street, Tuticorin Main Area, Thoothukudi, Tamil Nadu ,628002",,"Rice: 20 kg, Wheat: 5 kg, Sugar: 2 kg, Kerosene: 5 liters, Oil: 1 packet, Pulses: 1-2 kg",27-11-2020,TNPDS-Kanyakumari,Linked
ANONY AK,9.31E+11,PHH,28/10/1989,MALE,9119889739,"88, Kamaraj Salai, South Madavilagam, Thiruvarur, Tamil Nadu ,610001",,"Rice: 10 kg, Wheat: 2 kg, Sugar: 1 kg, Kerosene: 2-3 liters, Oil: 1 packet, Pulses: 2 kg",28-05-2022,TNPDS-Thoothukudi,Not Linked
